iter	Logloss
0	0.6874641901
1	0.6832413871
2	0.6782865903
3	0.6733013644
4	0.6695265618
5	0.6651081321
6	0.6604648771
7	0.655442285
8	0.6511969444
9	0.6466925454
10	0.6417141639
11	0.636499633
12	0.6326974805
13	0.628250327
14	0.6244286282
15	0.6203456963
16	0.6164542772
17	0.6118453502
18	0.6086896167
19	0.6045911616
20	0.6007242618
21	0.5976954576
22	0.5940320509
23	0.5905752665
24	0.5869052431
25	0.5837436093
26	0.5801234016
27	0.5761109398
28	0.5728253129
29	0.5698066131
30	0.566622988
31	0.5627302658
32	0.5592111992
33	0.5558082202
34	0.5527083142
35	0.5493112935
36	0.547180584
37	0.5440512136
38	0.5420888419
39	0.5403901045
40	0.5377390588
41	0.5343678602
42	0.5330286821
43	0.5303886482
44	0.5277050245	45	0.5255626224
46	0.5227688203
47	0.5201962746
48	0.5180408214
49	0.5161986701
50	0.5136305465
51	0.5114485503
52	0.5090337567
53	0.5073934111
5454	0.50631007055	0.5027722455
5656	0.5024457	057	0.4983272067
5858	0.49843744059	0.4945004039
6060	0.4945904761	0.5015929576
62	0.4996393153
663	0.4881296216464	0.4865374965	65	0.4846800717
66	0.4824294316
67	0.4805204398
68	0.4787137869	69	0.4765854070	0.4842784131
71	0.4828600542
72	0.4814921107
73	0.4798771051
74	0.478599796
75	0.4770822601
76	0.4759366584
77	0.4747766267
78	0.4732297861
79	0.4715089756
80	0.4702156056
81	0.4688775741
82	0.46721748
83	0.4662065211
84	0.4647487604
85	0.4631449631
86	0.4618480243
87	0.4607916779
88	0.4594876099
89	0.4577583412
90	0.4569311643
91	0.4563315584
92	0.4554051737
93	0.4540423466
94	0.4529372936
95	0.4518072183
96	0.4507153913
97	0.4494399614
98	0.4484205898
99	0.4480414161
100	0.447023424
101	0.4459383782
102	0.4447105299
103	0.4435012859
104	0.4421780694
105	0.4412728792
106	0.4402685142
107	0.43934073
108	0.4385455936
109	0.4376695689
110	0.4367450462
111	0.4355667544
112	0.4343878823
113	0.433390496
114	0.4326043022
115	0.4316826275
116	0.4308108195
117	0.4299364417
118	0.428849881
119	0.4278903595
120	0.4271566063
121	0.4262623013
122	0.425662766
123	0.4245257808
124	0.4235968239
125	0.423096913
126	0.4222754315
127	0.4213393717
128	0.4203538167
129	0.4195707433
130	0.4190185216
131	0.4181769065
132	0.4174380289
133	0.416542697
134	0.4156714884
135	0.4149756846
136	0.4144651964
137	0.413789039
138	0.4131619365
139	0.412492257
140	0.411897416
141	0.4112466982
142	0.4106371164
143	0.409928086
144	0.4095194653
145	0.4089047131
146	0.4082527106
147	0.4076214862
148	0.4069510882
149	0.4067017801
150	0.4060813093
151	0.4053372571
152	0.40464479
153	0.4040959228
154	0.4035397445
155	0.4034558266
156	0.4029321615
157	0.4023337348
158	0.4019045476
159	0.4014098567
160	0.4011039622
161	0.4005618895
162	0.3998359095
163	0.3991781664
164	0.3986985026
165	0.3983467905
166	0.3980426222
167	0.3975501696
168	0.3969212977
169	0.3966444541
170	0.396070822
171	0.3956382332
172	0.3952907672
173	0.3947586188
174	0.3941151049
175	0.3935713777
176	0.3931389903
177	0.3927006353
178	0.3923627747
179	0.3920467016
180	0.3915195461
181	0.3911365555
182	0.3908821406
