iter	Passed	Remaining
424	2222	3006
425	2225	2998
426	2232	2996
427	2238	2991
428	2242	2984
429	2248	2980
430	2251	2972
431	2255	2964
432	2261	2961
433	2270	2961
434	2276	2957
435	2281	2950
436	2290	2950
437	2293	2942
438	2299	2939
439	2306	2934
440	2311	2930
441	2318	2926
442	2323	2920
443	2325	2912
444	2330	2907
445	2336	2902
446	2341	2896
447	2342	2886
448	2350	2884
449	2355	2878
450	2365	2879
451	2369	2872
452	2371	2863
453	2374	2856
454	2380	2851
455	2388	2849
456	2393	2844
457	2401	2842
458	2405	2835
459	2413	2832
460	2420	2829
461	2423	2821
462	2427	2815
463	2434	2811
464	2441	2808
465	2446	2803
466	2451	2797
467	2455	2790
468	2456	2781
469	2471	2786
470	2480	2785
471	2482	2776
472	2486	2770
473	2496	2770
474	2500	2763
475	2501	2754
476	2505	2746
477	2514	2745
478	2517	2738
479	2520	2731
480	2524	2723
481	2531	2720
482	2534	2712
483	2542	2710
484	2548	2706
485	2552	2700
486	2559	2696
487	2564	2690
488	2565	2681
489	2573	2678
490	2582	2676
491	2587	2671
492	2594	2668
493	2601	2664
494	2610	2663
495	2616	2658
496	2621	2652
497	2629	2650
498	2636	2646
499	2643	2643
500	2650	2639
501	2655	2633
502	2658	2626
503	2661	2618
504	2663	2610
505	2667	2603
506	2671	2598
507	2676	2592
508	2682	2587
509	2691	2585
510	2695	2579
511	2700	2574
512	2710	2573
513	2717	2569
514	2727	2568
515	2733	2564
516	2740	2560
517	2745	2555
518	2747	2546
519	2751	2539
520	2758	2535
521	2762	2529
522	2768	2525
523	2774	2520
524	2780	2515
525	2782	2507
526	2791	2505
527	2797	2500
528	2801	2494
529	2814	2495
530	2817	2488
531	2824	2484
532	2827	2477
533	2834	2473
534	2841	2469
535	2842	2460
536	2847	2455
537	2853	2450
538	2859	2446
539	2864	2440
540	2873	2438
541	2876	2430
542	2882	2426
543	2891	2423
544	2896	2418
545	2905	2416
546	2908	2408
547	2911	2401
548	2914	2394
549	2922	2391
550	2927	2385
551	2932	2380
552	2941	2377
553	2946	2372
554	2957	2371
555	2963	2366
556	2974	2365
557	2982	2362
558	2990	2359
559	2993	2352
